"Date Heure, GMT+01:00",Flux conductif (W/m2) pour la profondeur 0.0020 m,Flux conductif (W/m2) pour la profondeur 0.0060 m,Flux conductif (W/m2) pour la profondeur 0.0100 m,Flux conductif (W/m2) pour la profondeur 0.0140 m,Flux conductif (W/m2) pour la profondeur 0.0180 m,Flux conductif (W/m2) pour la profondeur 0.0220 m,Flux conductif (W/m2) pour la profondeur 0.0260 m,Flux conductif (W/m2) pour la profondeur 0.0300 m,Flux conductif (W/m2) pour la profondeur 0.0340 m,Flux conductif (W/m2) pour la profondeur 0.0380 m,Flux conductif (W/m2) pour la profondeur 0.0420 m,Flux conductif (W/m2) pour la profondeur 0.0460 m,Flux conductif (W/m2) pour la profondeur 0.0500 m,Flux conductif (W/m2) pour la profondeur 0.0540 m,Flux conductif (W/m2) pour la profondeur 0.0580 m,Flux conductif (W/m2) pour la profondeur 0.0620 m,Flux conductif (W/m2) pour la profondeur 0.0660 m,Flux conductif (W/m2) pour la profondeur 0.0700 m,Flux conductif (W/m2) pour la profondeur 0.0740 m,Flux conductif (W/m2) pour la profondeur 0.0780 m,Flux conductif (W/m2) pour la profondeur 0.0820 m,Flux conductif (W/m2) pour la profondeur 0.0860 m,Flux conductif (W/m2) pour la profondeur 0.0900 m,Flux conductif (W/m2) pour la profondeur 0.0940 m,Flux conductif (W/m2) pour la profondeur 0.0980 m,Flux conductif (W/m2) pour la profondeur 0.1020 m,Flux conductif (W/m2) pour la profondeur 0.1060 m,Flux conductif (W/m2) pour la profondeur 0.1100 m,Flux conductif (W/m2) pour la profondeur 0.1140 m,Flux conductif (W/m2) pour la profondeur 0.1180 m,Flux conductif (W/m2) pour la profondeur 0.1220 m,Flux conductif (W/m2) pour la profondeur 0.1260 m,Flux conductif (W/m2) pour la profondeur 0.1300 m,Flux conductif (W/m2) pour la profondeur 0.1340 m,Flux conductif (W/m2) pour la profondeur 0.1380 m,Flux conductif (W/m2) pour la profondeur 0.1420 m,Flux conductif (W/m2) pour la profondeur 0.1460 m,Flux conductif (W/m2) pour la profondeur 0.1500 m,Flux conductif (W/m2) pour la profondeur 0.1540 m,Flux conductif (W/m2) pour la profondeur 0.1580 m,Flux conductif (W/m2) pour la profondeur 0.1620 m,Flux conductif (W/m2) pour la profondeur 0.1660 m,Flux conductif (W/m2) pour la profondeur 0.1700 m,Flux conductif (W/m2) pour la profondeur 0.1740 m,Flux conductif (W/m2) pour la profondeur 0.1780 m,Flux conductif (W/m2) pour la profondeur 0.1820 m,Flux conductif (W/m2) pour la profondeur 0.1860 m,Flux conductif (W/m2) pour la profondeur 0.1900 m,Flux conductif (W/m2) pour la profondeur 0.1940 m,Flux conductif (W/m2) pour la profondeur 0.1980 m,Flux conductif (W/m2) pour la profondeur 0.2020 m,Flux conductif (W/m2) pour la profondeur 0.2060 m,Flux conductif (W/m2) pour la profondeur 0.2100 m,Flux conductif (W/m2) pour la profondeur 0.2140 m,Flux conductif (W/m2) pour la profondeur 0.2180 m,Flux conductif (W/m2) pour la profondeur 0.2220 m,Flux conductif (W/m2) pour la profondeur 0.2260 m,Flux conductif (W/m2) pour la profondeur 0.2300 m,Flux conductif (W/m2) pour la profondeur 0.2340 m,Flux conductif (W/m2) pour la profondeur 0.2380 m,Flux conductif (W/m2) pour la profondeur 0.2420 m,Flux conductif (W/m2) pour la profondeur 0.2460 m,Flux conductif (W/m2) pour la profondeur 0.2500 m,Flux conductif (W/m2) pour la profondeur 0.2540 m,Flux conductif (W/m2) pour la profondeur 0.2580 m,Flux conductif (W/m2) pour la profondeur 0.2620 m,Flux conductif (W/m2) pour la profondeur 0.2660 m,Flux conductif (W/m2) pour la profondeur 0.2700 m,Flux conductif (W/m2) pour la profondeur 0.2740 m,Flux conductif (W/m2) pour la profondeur 0.2780 m,Flux conductif (W/m2) pour la profondeur 0.2820 m,Flux conductif (W/m2) pour la profondeur 0.2860 m,Flux conductif (W/m2) pour la profondeur 0.2900 m,Flux conductif (W/m2) pour la profondeur 0.2940 m,Flux conductif (W/m2) pour la profondeur 0.2980 m,Flux conductif (W/m2) pour la profondeur 0.3020 m,Flux conductif (W/m2) pour la profondeur 0.3060 m,Flux conductif (W/m2) pour la profondeur 0.3100 m,Flux conductif (W/m2) pour la profondeur 0.3140 m,Flux conductif (W/m2) pour la profondeur 0.3180 m,Flux conductif (W/m2) pour la profondeur 0.3220 m,Flux conductif (W/m2) pour la profondeur 0.3260 m,Flux conductif (W/m2) pour la profondeur 0.3300 m,Flux conductif (W/m2) pour la profondeur 0.3340 m,Flux conductif (W/m2) pour la profondeur 0.3380 m,Flux conductif (W/m2) pour la profondeur 0.3420 m,Flux conductif (W/m2) pour la profondeur 0.3460 m,Flux conductif (W/m2) pour la profondeur 0.3500 m,Flux conductif (W/m2) pour la profondeur 0.3540 m,Flux conductif (W/m2) pour la profondeur 0.3580 m,Flux conductif (W/m2) pour la profondeur 0.3620 m,Flux conductif (W/m2) pour la profondeur 0.3660 m,Flux conductif (W/m2) pour la profondeur 0.3700 m,Flux conductif (W/m2) pour la profondeur 0.3740 m,Flux conductif (W/m2) pour la profondeur 0.3780 m,Flux conductif (W/m2) pour la profondeur 0.3820 m,Flux conductif (W/m2) pour la profondeur 0.3860 m,Flux conductif (W/m2) pour la profondeur 0.3900 m,Flux conductif (W/m2) pour la profondeur 0.3940 m,Flux conductif (W/m2) pour la profondeur 0.3980 m
16/06/27 12:00:00,-228.49702,-222.34872,-210.26204,-198.56528,-187.23839,-176.3114,-165.7743,-155.5971,-145.77982,-136.33243,-127.24493,-118.487335,-110.08965,-102.031876,-94.28401,-86.87605,-79.798004,-73.019875,-66.55165,-60.383358,-54.514973,-48.946507,-43.647964,-38.629353,-33.890656,-29.411894,-25.203053,-21.244144,-17.535166,-14.076119,-10.847011,-7.857834,-5.0786,-2.5293028,-0.1999449,1.9194709,3.8389418,5.5684648,7.108041,8.457668,9.617349,10.617073,11.446845,12.11666,12.626519,12.98642,13.1963625,13.2763405,13.226354,13.036406,12.736488,12.316605,11.786751,11.156924,10.427126,9.607352,8.7076,7.717872,6.6581645,5.528476,4.3388042,3.0891485,1.7895067,0.449876,-0.93974096,-2.3493524,-3.798953,-5.2585506,-6.7381425,-8.237729,-9.727319,-11.2169075,-12.696501,-14.176092,-15.63569,-17.0553,-18.444916,-19.814539,-21.134174,-22.393827,-23.603493,-24.753176,-25.852873,-26.872591,-27.79234,-28.652102,-29.421888,-30.081709,-30.65155,-31.12142,-31.471325,-31.691265,-31.791237,-31.771242,-31.611286,-31.30137,-30.851496,-30.241665,-29.481873,-29.071985
16/06/27 12:15:00,199.32506,177.47108,136.97224,102.48176,73.2798,48.696575,28.142244,11.096942,-2.9191952,-14.306057,-23.413546,-30.561577,-36.02007,-40.04896,-42.87818,-44.64769,-45.52745,-45.68741,-45.237534,-44.287792,-42.938164,-41.24863,-39.31916,-37.199745,-34.93037,-32.551025,-30.101702,-27.652376,-25.193056,-22.763725,-20.404375,-18.09501,-15.875624,-13.756208,-11.726768,-9.807297,-8.027787,-6.3582473,-4.798677,-3.3790686,-2.0894241,-0.9297437,0.10996968,1.0297161,1.8194985,2.4693193,2.989176,3.3890657,3.6889832,3.8889282,3.9789033,3.9489117,3.80895,3.5690162,3.2491045,2.8492148,2.3593497,1.8194985,1.189672,0.48986498,-0.24993111,-1.0397134,-1.8794819,-2.779234,-3.6989806,-4.6587157,-5.65844,-6.678159,-7.7078753,-8.737592,-9.797299,-10.867004,-11.916715,-12.956429,-14.00614,-15.035855,-16.03558,-17.005312,-17.925058,-18.814814,-19.674576,-20.504349,-21.284132,-22.013931,-22.693745,-23.303576,-23.863422,-24.393276,-24.85315,-25.243042,-25.61294,-25.932852,-26.192781,-26.402721,-26.572674,-26.712637,-26.852598,-26.992561,-27.142519,-27.232492
16/06/27 12:30:00,10.357145,17.175266,28.252213,34.780415,37.79958,38.189472,36.6499,33.760696,29.941748,25.54296,20.874247,16.135551,11.486833,7.0380597,2.8892035,-0.90974927,-4.328807,-7.337977,-9.927264,-12.126657,-13.9461565,-15.395757,-16.525444,-17.33522,-17.825087,-18.075018,-18.10501,-17.915062,-17.565159,-17.065296,-16.445467,-15.715668,-14.905891,-14.066123,-13.176368,-12.266619,-11.336874,-10.407131,-9.517376,-8.647616,-7.817845,-7.028063,-6.2882667,-5.6084538,-4.988625,-4.428779,-3.928917,-3.5090325,-3.1691263,-2.8892035,-2.6792614,-2.5492973,-2.4693193,-2.4493248,-2.5193057,-2.6592667,-2.8492148,-3.1091428,-3.4090602,-3.768961,-4.1788483,-4.6187267,-5.1085916,-5.6284485,-6.2082887,-6.828118,-7.447947,-8.067776,-8.727594,-9.417404,-10.087219,-10.767032,-11.446845,-12.126657,-12.7964735,-13.426299,-14.046128,-14.65596,-15.2358,-15.795647,-16.3255,-16.785372,-17.19526,-17.575155,-17.905066,-18.184986,-18.384932,-18.5049,-18.564882,-18.524893,-18.384932,-18.154997,-17.805092,-17.315228,-16.6854,-15.895618,-14.925885,-13.756208,-12.346597,-11.576809
16/06/27 12:45:00,21.014208,18.474907,14.406029,12.036681,10.807021,10.227181,9.967253,9.837288,9.697327,9.46739,9.0675,8.477663,7.717872,6.798126,5.758413,4.6187267,3.3890657,2.129413,0.859763,-0.3998898,-1.6095563,-2.7592392,-3.8289444,-4.8086743,-5.7184234,-6.518203,-7.198016,-7.7778563,-8.247726,-8.637619,-8.927539,-9.147478,-9.28744,-9.327429,-9.327429,-9.247451,-9.127484,-8.977526,-8.7575865,-8.52765,-8.297712,-8.047782,-7.7878532,-7.527925,-7.287991,-7.078049,-6.878104,-6.678159,-6.498209,-6.3482504,-6.2282834,-6.1583023,-6.1183133,-6.1083164,-6.1283107,-6.168299,-6.258275,-6.388239,-6.5481954,-6.7381425,-6.958082,-7.208013,-7.487936,-7.7878532,-8.097768,-8.4376745,-8.807572,-9.207462,-9.597354,-9.967253,-10.367142,-10.777029,-11.206911,-11.636792,-12.036681,-12.436571,-12.826464,-13.1963625,-13.56626,-13.906167,-14.226078,-14.555988,-14.83591,-15.085841,-15.345771,-15.5757065,-15.785648,-15.975596,-16.135551,-16.3255,-16.525444,-16.695396,-16.90534,-17.165268,-17.475183,-17.885069,-18.404926,-19.064745,-19.924507,-20.414373
16/06/27 13:00:00,5.2585506,6.2482777,7.717872,8.317707,8.357697,8.107765,7.6778836,7.14803,6.578187,5.998347,5.438501,4.8786554,4.328807,3.7889557,3.2391071,2.6892588,2.1494074,1.5995592,1.0497106,0.5198567,-0.029991733,-0.5998346,-1.149683,-1.7095287,-2.2393827,-2.739245,-3.2391071,-3.7089775,-4.1588535,-4.5787377,-4.9686303,-5.3085365,-5.618451,-5.8883767,-6.1083164,-6.3282557,-6.518203,-6.668162,-6.808123,-6.9280906,-7.018065,-7.0980434,-7.1580267,-7.198016,-7.2480025,-7.277994,-7.2979884,-7.337977,-7.3879633,-7.427953,-7.4679413,-7.5179276,-7.5679135,-7.6378946,-7.72787,-7.8378396,-7.937812,-8.047782,-8.177746,-8.317707,-8.48766,-8.657614,-8.827567,-9.037509,-9.28744,-9.527374,-9.757311,-9.997244,-10.247175,-10.527098,-10.797024,-11.056952,-11.336874,-11.616797,-11.896721,-12.18664,-12.466563,-12.736488,-13.006415,-13.296335,-13.556263,-13.796198,-14.076119,-14.356043,-14.625968,-14.875899,-15.115833,-15.355767,-15.615696,-15.845633,-16.045578,-16.265516,-16.455463,-16.595425,-16.715393,-16.79537,-16.815365,-16.755383,-16.555437,-16.415476
16/06/27 13:15:00,4.3188095,3.9889004,3.5390246,3.3790686,3.3690712,3.4090602,3.4290547,3.4290547,3.3690712,3.2690988,3.1191401,2.9191952,2.669264,2.3593497,2.049435,1.7295232,1.389617,1.0497106,0.6898098,0.30991456,-0.059983466,-0.41988423,-0.7897823,-1.1396859,-1.4895893,-1.8594874,-2.1993937,-2.5393,-2.8792064,-3.2091153,-3.5290272,-3.8389418,-4.1388593,-4.428779,-4.7186995,-4.958633,-5.1685753,-5.3885145,-5.6084538,-5.8283935,-6.0283384,-6.2082887,-6.388239,-6.5581923,-6.7281456,-6.9180927,-7.088046,-7.21801,-7.337977,-7.487936,-7.6378946,-7.7778563,-7.937812,-8.077773,-8.207738,-8.347698,-8.48766,-8.647616,-8.817569,-8.967528,-9.117487,-9.28744,-9.477387,-9.667335,-9.837288,-10.017239,-10.227181,-10.437123,-10.647065,-10.867004,-11.096942,-11.336874,-11.566812,-11.796748,-12.016687,-12.236627,-12.476561,-12.706497,-12.936434,-13.176368,-13.416302,-13.646239,-13.876175,-14.116109,-14.346046,-14.555988,-14.755933,-14.965875,-15.165819,-15.355767,-15.565709,-15.755657,-15.945605,-16.155546,-16.345493,-16.555437,-16.805368,-17.075293,-17.395205,-17.575155
16/06/27 13:30:00,-0.09997245,0.1599559,0.56984293,0.8097768,0.93974096,0.98972714,1.0097216,1.0097216,0.98972714,0.94973826,0.8897547,0.8097768,0.7297988,0.6298264,0.49986222,0.34990355,0.16995315,-0.009997244,-0.1999449,-0.41988423,-0.6398236,-0.8697603,-1.1096941,-1.349628,-1.5995592,-1.8494903,-2.1094186,-2.3693469,-2.6292753,-2.8792064,-3.1291375,-3.3890657,-3.638997,-3.8889282,-4.128862,-4.3587985,-4.6087294,-4.8486633,-5.0885973,-5.3285313,-5.548471,-5.7684097,-5.978352,-6.178297,-6.3982368,-6.5981812,-6.768134,-6.958082,-7.1580267,-7.337977,-7.5179276,-7.72787,-7.90782,-8.077773,-8.257724,-8.427677,-8.607627,-8.787578,-8.967528,-9.147478,-9.337426,-9.517376,-9.687329,-9.86728,-10.0672245,-10.277167,-10.477112,-10.66706,-10.847011,-11.02696,-11.2169075,-11.406856,-11.606801,-11.816743,-12.036681,-12.266619,-12.476561,-12.676505,-12.856457,-13.046404,-13.246349,-13.4362955,-13.616246,-13.796198,-13.986144,-14.156098,-14.336048,-14.515999,-14.665957,-14.805919,-14.955877,-15.105836,-15.2358,-15.3357725,-15.435744,-15.505726,-15.535717,-15.545715,-15.485731,-15.435744
16/06/27 13:45:00,-2.459322,-2.379344,-2.1893966,-1.9594599,-1.7395205,-1.5295783,-1.349628,-1.2196639,-1.1096941,-1.0297161,-0.9697327,-0.93974096,-0.93974096,-0.95973545,-1.0097216,-1.0597079,-1.1196914,-1.1996692,-1.309639,-1.4296058,-1.549573,-1.6695398,-1.799504,-1.9594599,-2.129413,-2.299366,-2.4793165,-2.669264,-2.8492148,-3.0491595,-3.2690988,-3.479041,-3.6789858,-3.8889282,-4.108867,-4.3188095,-4.538749,-4.7686853,-4.9786277,-5.1785727,-5.3885145,-5.598457,-5.798402,-6.0083437,-6.2082887,-6.4182305,-6.628173,-6.8181205,-7.008068,-7.198016,-7.397961,-7.5779114,-7.7678585,-7.9678035,-8.167748,-8.367693,-8.557641,-8.7575865,-8.967528,-9.157475,-9.317431,-9.50738,-9.697327,-9.877277,-10.077223,-10.26717,-10.457118,-10.657063,-10.847011,-11.046955,-11.246901,-11.446845,-11.626795,-11.776753,-11.926712,-12.086668,-12.266619,-12.446569,-12.626519,-12.776478,-12.906443,-13.066399,-13.236351,-13.366316,-13.506277,-13.666233,-13.776202,-13.89617,-14.03613,-14.146101,-14.2660675,-14.36604,-14.4260235,-14.486007,-14.545991,-14.605974,-14.665957,-14.715943,-14.785924,-14.83591
16/06/27 14:00:00,-3.8189473,-3.6889832,-3.4690437,-3.2890935,-3.1191401,-2.9791787,-2.8592117,-2.739245,-2.6292753,-2.5393,-2.459322,-2.3993385,-2.3593497,-2.3193607,-2.2893689,-2.2793717,-2.2893689,-2.3293579,-2.3693469,-2.4193332,-2.4893138,-2.5692918,-2.6592667,-2.739245,-2.8392174,-2.9791787,-3.1191401,-3.2291098,-3.3590739,-3.5190299,-3.6689885,-3.8289444,-4.008895,-4.1888456,-4.3587985,-4.528752,-4.708702,-4.8986497,-5.0786,-5.2685475,-5.4684925,-5.6384454,-5.818396,-6.0083437,-6.198292,-6.388239,-6.578187,-6.7781315,-6.968079,-7.168024,-7.3679686,-7.5579166,-7.7478647,-7.937812,-8.12776,-8.327704,-8.537646,-8.717597,-8.88755,-9.0675,-9.267446,-9.457393,-9.647341,-9.847285,-10.027236,-10.207187,-10.387136,-10.567087,-10.757035,-10.926988,-11.076946,-11.246901,-11.436847,-11.616797,-11.796748,-11.9667015,-12.126657,-12.2866125,-12.426575,-12.58653,-12.756484,-12.916439,-13.056401,-13.1963625,-13.356318,-13.506277,-13.666233,-13.826188,-13.96615,-14.116109,-14.2660675,-14.416026,-14.5859785,-14.755933,-14.935883,-15.135827,-15.355767,-15.585703,-15.805643,-15.915613
16/06/27 14:15:00,-5.798402,-5.668437,-5.398512,-5.118589,-4.8586607,-4.6187267,-4.4087844,-4.2388315,-4.088873,-3.9489117,-3.8189473,-3.7089775,-3.6190023,-3.5590189,-3.5090325,-3.4590464,-3.4290547,-3.4090602,-3.4190574,-3.4190574,-3.4190574,-3.4690437,-3.5190299,-3.5890107,-3.6689885,-3.7289722,-3.798953,-3.8889282,-3.9889004,-4.09887,-4.20884,-4.328807,-4.4487734,-4.5787377,-4.7286963,-4.8786554,-5.028614,-5.1785727,-5.338528,-5.4984846,-5.65844,-5.8283935,-5.998347,-6.1583023,-6.3282557,-6.518203,-6.698154,-6.8681064,-7.028063,-7.198016,-7.397961,-7.5779114,-7.7478647,-7.927815,-8.12776,-8.327704,-8.507655,-8.6776085,-8.857558,-9.047505,-9.227457,-9.407407,-9.57736,-9.737316,-9.9072695,-10.087219,-10.26717,-10.437123,-10.617073,-10.797024,-10.966977,-11.126932,-11.276891,-11.436847,-11.596804,-11.75676,-11.926712,-12.106663,-12.266619,-12.426575,-12.58653,-12.716495,-12.856457,-12.996418,-13.146377,-13.306333,-13.4362955,-13.556263,-13.6762295,-13.7862,-13.886171,-13.986144,-14.086117,-14.1860895,-14.25607,-14.29606,-14.326051,-14.336048,-14.326051,-14.316053
16/06/27 14:30:00,-7.1180377,-6.958082,-6.688156,-6.4482226,-6.198292,-5.9683547,-5.758413,-5.5684648,-5.398512,-5.2485533,-5.1085916,-4.9686303,-4.8486633,-4.7386937,-4.6387215,-4.5587435,-4.488763,-4.4487734,-4.4187818,-4.4087844,-4.3987875,-4.3787932,-4.3987875,-4.4187818,-4.428779,-4.4587708,-4.508757,-4.5587435,-4.628724,-4.7186995,-4.798677,-4.8786554,-4.9786277,-5.0885973,-5.198567,-5.3285313,-5.458495,-5.578462,-5.6984296,-5.8283935,-5.9683547,-6.1083164,-6.2482777,-6.3982368,-6.5481954,-6.688156,-6.8481126,-7.018065,-7.1880183,-7.347975,-7.4979334,-7.657889,-7.827842,-7.9977956,-8.157751,-8.30771,-8.467666,-8.647616,-8.817569,-8.977526,-9.157475,-9.327429,-9.497382,-9.687329,-9.857283,-10.007241,-10.1572,-10.317156,-10.477112,-10.637067,-10.787025,-10.95698,-11.116936,-11.266894,-11.446845,-11.606801,-11.75676,-11.896721,-12.036681,-12.176643,-12.296611,-12.426575,-12.536544,-12.636517,-12.736488,-12.826464,-12.946432,-13.066399,-13.16637,-13.256346,-13.336324,-13.396308,-13.466288,-13.536268,-13.596252,-13.656236,-13.706223,-13.756208,-13.796198,-13.816192
16/06/27 14:45:00,-7.2979884,-7.2380047,-7.078049,-6.908096,-6.758137,-6.6081786,-6.4582195,-6.298264,-6.1483054,-6.0183406,-5.9083714,-5.818396,-5.728421,-5.6384454,-5.548471,-5.4684925,-5.4085093,-5.3285313,-5.2685475,-5.228559,-5.2085643,-5.18857,-5.1485806,-5.158578,-5.1785727,-5.198567,-5.238556,-5.2685475,-5.288542,-5.338528,-5.398512,-5.458495,-5.5184784,-5.5884595,-5.6884317,-5.778407,-5.848388,-5.938363,-6.05833,-6.168299,-6.2782693,-6.4082336,-6.5381975,-6.6581645,-6.788129,-6.9280906,-7.0680513,-7.208013,-7.347975,-7.4979334,-7.647892,-7.7978506,-7.947809,-8.097768,-8.257724,-8.407682,-8.557641,-8.717597,-8.867556,-9.027512,-9.187468,-9.337426,-9.477387,-9.607352,-9.767307,-9.927264,-10.0672245,-10.217183,-10.387136,-10.527098,-10.647065,-10.787025,-10.936985,-11.086944,-11.206911,-11.326878,-11.466839,-11.606801,-11.726768,-11.836737,-11.946708,-12.056677,-12.176643,-12.276615,-12.376588,-12.486558,-12.576533,-12.666509,-12.76648,-12.836461,-12.896445,-12.966426,-13.016412,-13.056401,-13.096391,-13.156374,-13.1963625,-13.226354,-13.266343,-13.2763405
16/06/27 15:00:00,-10.177195,-9.937261,-9.497382,-9.10749,-8.7575865,-8.4376745,-8.137756,-7.8778286,-7.6179,-7.3779664,-7.1880183,-6.998071,-6.8481126,-6.7181478,-6.568189,-6.4282284,-6.3182583,-6.258275,-6.198292,-6.1383076,-6.068327,-5.998347,-5.9683547,-5.938363,-5.9183683,-5.9083714,-5.898374,-5.898374,-5.9183683,-5.9583573,-5.988349,-6.0183406,-6.0883217,-6.1583023,-6.198292,-6.258275,-6.3282557,-6.4082336,-6.498209,-6.578187,-6.6581645,-6.7481403,-6.8681064,-6.9780765,-7.0680513,-7.1780214,-7.2979884,-7.4379497,-7.5779114,-7.6878805,-7.7978506,-7.927815,-8.077773,-8.217734,-8.337702,-8.467666,-8.607627,-8.737592,-8.867556,-9.007517,-9.147478,-9.28744,-9.437399,-9.597354,-9.727319,-9.857283,-10.007241,-10.1472025,-10.277167,-10.397134,-10.537095,-10.687054,-10.8170185,-10.946982,-11.096942,-11.236902,-11.366867,-11.496831,-11.616797,-11.736764,-11.856731,-11.976698,-12.076671,-12.176643,-12.296611,-12.396584,-12.5265465,-12.686502,-12.80647,-12.936434,-13.076395,-13.20636,-13.366316,-13.546267,-13.736213,-13.906167,-14.106112,-14.336048,-14.555988,-14.675954
16/06/27 15:15:00,-11.436847,-11.266894,-10.91699,-10.577084,-10.247175,-9.927264,-9.627346,-9.337426,-9.087495,-8.847561,-8.59763,-8.377691,-8.157751,-7.947809,-7.7778563,-7.6278977,-7.4779387,-7.337977,-7.208013,-7.088046,-7.008068,-6.9380875,-6.878104,-6.8181205,-6.7481403,-6.708151,-6.688156,-6.668162,-6.6481676,-6.6481676,-6.6581645,-6.6481676,-6.6481676,-6.678159,-6.7281456,-6.768134,-6.808123,-6.8681064,-6.9280906,-6.998071,-7.078049,-7.14803,-7.21801,-7.32798,-7.4379497,-7.5179276,-7.597906,-7.6678863,-7.7678585,-7.8978233,-8.007792,-8.107765,-8.217734,-8.337702,-8.457668,-8.587633,-8.7076,-8.827567,-8.967528,-9.10749,-9.237453,-9.357421,-9.477387,-9.5873575,-9.717321,-9.847285,-9.967253,-10.097217,-10.227181,-10.367142,-10.497107,-10.637067,-10.777029,-10.906994,-11.016963,-11.126932,-11.266894,-11.406856,-11.526822,-11.64679,-11.776753,-11.886723,-11.986695,-12.096666,-12.216633,-12.326602,-12.436571,-12.546542,-12.666509,-12.786475,-12.876451,-12.946432,-13.016412,-13.076395,-13.1163845,-13.176368,-13.20636,-13.20636,-13.1963625,-13.176368
16/06/27 15:30:00,-13.836185,-13.586254,-13.086392,-12.616522,-12.176643,-11.766756,-11.3768635,-11.006966,-10.66706,-10.347148,-10.0672245,-9.787302,-9.527374,-9.297437,-9.057504,-8.8375635,-8.637619,-8.457668,-8.317707,-8.19774,-8.057779,-7.927815,-7.817845,-7.7078753,-7.6378946,-7.5779114,-7.5079303,-7.447947,-7.3879633,-7.347975,-7.3179827,-7.307986,-7.32798,-7.3179827,-7.2979884,-7.32798,-7.3679686,-7.3879633,-7.417955,-7.4579444,-7.4979334,-7.5579166,-7.6179,-7.657889,-7.72787,-7.817845,-7.8978233,-7.987798,-8.067776,-8.147755,-8.247726,-8.337702,-8.4376745,-8.547644,-8.657614,-8.767583,-8.867556,-8.977526,-9.087495,-9.187468,-9.28744,-9.407407,-9.537371,-9.667335,-9.787302,-9.897271,-10.017239,-10.137206,-10.257173,-10.367142,-10.477112,-10.587081,-10.697052,-10.807021,-10.926988,-11.056952,-11.156924,-11.256897,-11.3768635,-11.486833,-11.576809,-11.676781,-11.776753,-11.866729,-11.956704,-12.026685,-12.11666,-12.216633,-12.276615,-12.346597,-12.426575,-12.476561,-12.51655,-12.566536,-12.606525,-12.626519,-12.666509,-12.716495,-12.756484,-12.776478
16/06/27 15:45:00,-13.036406,-12.926436,-12.736488,-12.546542,-12.316605,-12.076671,-11.846735,-11.606801,-11.35687,-11.116936,-10.877002,-10.657063,-10.437123,-10.227181,-10.027236,-9.8272915,-9.647341,-9.46739,-9.297437,-9.137481,-8.987522,-8.8375635,-8.7076,-8.607627,-8.48766,-8.377691,-8.287715,-8.217734,-8.167748,-8.097768,-8.037785,-8.007792,-7.9578066,-7.937812,-7.947809,-7.917817,-7.90782,-7.917817,-7.917817,-7.937812,-7.9678035,-8.007792,-8.067776,-8.12776,-8.177746,-8.227732,-8.287715,-8.357697,-8.427677,-8.48766,-8.557641,-8.627622,-8.687605,-8.767583,-8.847561,-8.9175415,-8.9975195,-9.087495,-9.17747,-9.257448,-9.357421,-9.477387,-9.597354,-9.717321,-9.837288,-9.937261,-10.027236,-10.127209,-10.237178,-10.357145,-10.457118,-10.537095,-10.647065,-10.757035,-10.837012,-10.926988,-11.02696,-11.116936,-11.206911,-11.296886,-11.3768635,-11.456842,-11.526822,-11.596804,-11.676781,-11.75676,-11.816743,-11.876726,-11.956704,-12.006691,-12.0466795,-12.106663,-12.15665,-12.18664,-12.246625,-12.316605,-12.346597,-12.376588,-12.396584,-12.396584
16/06/27 16:00:00,-16.61542,-16.275513,-15.63569,-15.075844,-14.565985,-14.106112,-13.686227,-13.2763405,-12.896445,-12.556539,-12.246625,-11.936709,-11.636792,-11.35687,-11.096942,-10.857007,-10.637067,-10.437123,-10.237178,-10.057228,-9.887275,-9.727319,-9.5873575,-9.437399,-9.317431,-9.207462,-9.087495,-8.987522,-8.897547,-8.817569,-8.747588,-8.6776085,-8.627622,-8.577636,-8.537646,-8.537646,-8.507655,-8.48766,-8.48766,-8.477663,-8.477663,-8.48766,-8.507655,-8.52765,-8.557641,-8.59763,-8.647616,-8.697602,-8.727594,-8.77758,-8.8375635,-8.897547,-8.967528,-9.007517,-9.0675,-9.157475,-9.237453,-9.317431,-9.377416,-9.447395,-9.527374,-9.5873575,-9.677333,-9.767307,-9.847285,-9.957255,-10.0672245,-10.1472025,-10.227181,-10.317156,-10.407131,-10.507104,-10.587081,-10.657063,-10.747038,-10.837012,-10.906994,-10.976974,-11.046955,-11.116936,-11.176919,-11.236902,-11.306884,-11.386861,-11.456842,-11.506828,-11.576809,-11.636792,-11.686778,-11.746762,-11.786751,-11.836737,-11.896721,-11.946708,-11.986695,-12.016687,-12.036681,-12.056677,-12.086668,-12.096666
